"time","year","month","clave","delegacion","edos","cveEdo","valor","INPC","INPC_ms","valor_def"
1999-12-01,"1999/Dec","Dec","Salario diario hombres","AGUASCALIENTES.4","Aguascalientes","1",110.61,44.335516388566,0.331651591389696,333.512646619661
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","AGUASCALIENTES.5","Aguascalientes","1",83.12,44.335516388566,0.331651591389696,250.624456984235
1999-12-01,"1999/Dec","Dec","Salario diario hombres","BAJA.CALIFORNIA.4","Baja California","2",140.99,44.335516388566,0.331651591389696,425.114800170925
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","BAJA.CALIFORNIA.5","Baja California","2",109.7,44.335516388566,0.331651591389696,330.768803310522
1999-12-01,"1999/Dec","Dec","Salario diario hombres","BAJA.CALIFORNIA.SUR.4","Baja California Sur","3",128.61,44.335516388566,0.331651591389696,387.786470316921
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","BAJA.CALIFORNIA.SUR.5","Baja California Sur","3",109.25,44.335516388566,0.331651591389696,329.41195771809
1999-12-01,"1999/Dec","Dec","Salario diario hombres","CAMPECHE.4","Campeche","4",129.04,44.335516388566,0.331651591389696,389.0830116608
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","CAMPECHE.5","Campeche","4",85.18,44.335516388566,0.331651591389696,256.835794585144
1999-12-01,"1999/Dec","Dec","Salario diario hombres","CDMX.NORTE.3","CDMX","9",207.08,44.335516388566,0.331651591389696,624.390189512697
1999-12-01,"1999/Dec","Dec","Salario diario hombres","CDMX.SUR.4","CDMX","9",167.72,44.335516388566,0.331651591389696,505.711428361356
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","CDMX.SUR.5","CDMX","9",139.26,44.335516388566,0.331651591389696,419.898482671133
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","CDMX.NORTE.4","CDMX","9",162.89,44.335516388566,0.331651591389696,491.147952335924
1999-12-01,"1999/Dec","Dec","Salario diario hombres","CHIAPAS.4","Chiapas","7",92.47,44.335516388566,0.331651591389696,278.816693182534
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","CHIAPAS.5","Chiapas","7",87.32,44.335516388566,0.331651591389696,263.288349180262
1999-12-01,"1999/Dec","Dec","Salario diario hombres","CHIHUAHUA.4","Chihuahua","8",122.8,44.335516388566,0.331651591389696,370.268086112416
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","CHIHUAHUA.5","Chihuahua","8",93.56,44.335516388566,0.331651591389696,282.103274728646
1999-12-01,"1999/Dec","Dec","Salario diario hombres","COAHUILA.4","Coahuila","5",118.04,44.335516388566,0.331651591389696,355.915674956919
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","COAHUILA.5","Coahuila","5",91.03,44.335516388566,0.331651591389696,274.474787286753
1999-12-01,"1999/Dec","Dec","Salario diario hombres","COLIMA.4","Colima","6",102.91,44.335516388566,0.331651591389696,310.295510926944
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","COLIMA.5","Colima","6",87.44,44.335516388566,0.331651591389696,263.650174671577
1999-12-01,"1999/Dec","Dec","Salario diario hombres","DURANGO.4","Durango","10",86.24,44.335516388566,0.331651591389696,260.031919758427
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","DURANGO.5","Durango","10",73.82,44.335516388566,0.331651591389696,222.582981407317
1999-12-01,"1999/Dec","Dec","Salario diario hombres","MÉXICO.ORIENTE.4","Estado de México","15",141.7,44.335516388566,0.331651591389696,427.255600994539
1999-12-01,"1999/Dec","Dec","Salario diario hombres","MÉXICO.PONIENTE.4","Estado de México","15",148.8,44.335516388566,0.331651591389696,448.66360923068
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","MÉXICO.PONIENTE.5","Estado de México","15",108.16,44.335516388566,0.331651591389696,326.125376171978
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","MÉXICO.ORIENTE.5","Estado de México","15",103.97,44.335516388566,0.331651591389696,313.491636100227
1999-12-01,"1999/Dec","Dec","Salario diario hombres","GUANAJUATO.4","Guanajuato","11",96.96,44.335516388566,0.331651591389696,292.354996982572
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","GUANAJUATO.5","Guanajuato","11",77.78,44.335516388566,0.331651591389696,234.523222620715
1999-12-01,"1999/Dec","Dec","Salario diario hombres","GUERRERO.4","Guerrero","12",100.6,44.335516388566,0.331651591389696,303.330370219129
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","GUERRERO.5","Guerrero","12",91.85,44.335516388566,0.331651591389696,276.947261477406
1999-12-01,"1999/Dec","Dec","Salario diario hombres","HIDALGO.4","Hidalgo","13",110.55,44.335516388566,0.331651591389696,333.331733874003
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","HIDALGO.5","Hidalgo","13",82.57,44.335516388566,0.331651591389696,248.966090149041
1999-12-01,"1999/Dec","Dec","Salario diario hombres","JALISCO.4","Jalisco","14",114.74,44.335516388566,0.331651591389696,345.965473945754
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","JALISCO.5","Jalisco","14",90.25,44.335516388566,0.331651591389696,272.122921593205
1999-12-01,"1999/Dec","Dec","Salario diario hombres","MICHOACÁN.4","Michoacán","16",106.83,44.335516388566,0.331651591389696,322.115143643236
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","MICHOACÁN.5","Michoacán","16",84.53,44.335516388566,0.331651591389696,254.875906507187
1999-12-01,"1999/Dec","Dec","Salario diario hombres","MORELOS.4","Morelos","17",122.55,44.335516388566,0.331651591389696,369.51428300551
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","MORELOS.5","Morelos","17",98.56,44.335516388566,0.331651591389696,297.179336866773
1999-12-01,"1999/Dec","Dec","Salario diario hombres","Nacional","NACIONAL","33",130.49,44.335516388566,0.331651591389696,393.455069680857
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","Nacional","NACIONAL","33",106.11,44.335516388566,0.331651591389696,319.944190695346
1999-12-01,"1999/Dec","Dec","Salario diario hombres","NAYARIT.4","Nayarit","18",91.86,44.335516388566,0.331651591389696,276.977413601682
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","NAYARIT.5","Nayarit","18",89.48,44.335516388566,0.331651591389696,269.801208023933
1999-12-01,"1999/Dec","Dec","Salario diario hombres","NUEVO.LEÓN.4","Nuevo León","19",141.09,44.335516388566,0.331651591389696,425.416321413687
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","NUEVO.LEÓN.5","Nuevo León","19",115.48,44.335516388566,0.331651591389696,348.196731142197
1999-12-01,"1999/Dec","Dec","Salario diario hombres","OAXACA.4","Oaxaca","20",89.88,44.335516388566,0.331651591389696,271.007292994984
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","OAXACA.5","Oaxaca","20",83.72,44.335516388566,0.331651591389696,252.43358444081
1999-12-01,"1999/Dec","Dec","Salario diario hombres","PUEBLA.4","Puebla","21",122.21,44.335516388566,0.331651591389696,368.489110780117
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","PUEBLA.5","Puebla","21",87.09,44.335516388566,0.331651591389696,262.594850321908
1999-12-01,"1999/Dec","Dec","Salario diario hombres","QUERÉTARO.4","Querétaro","22",142.29,44.335516388566,0.331651591389696,429.034576326838
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","QUERÉTARO.5","Querétaro","22",103.26,44.335516388566,0.331651591389696,311.350835276613
1999-12-01,"1999/Dec","Dec","Salario diario hombres","QUINTANA.ROO.4","Quintana Roo","23",100.39,44.335516388566,0.331651591389696,302.697175609328
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","QUINTANA.ROO.5","Quintana Roo","23",102.2,44.335516388566,0.331651591389696,308.15471010333
1999-12-01,"1999/Dec","Dec","Salario diario hombres","SAN.LUIS.POTOSÍ.4","San Luis Potosí","24",102.61,44.335516388566,0.331651591389696,309.390947198657
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","SAN.LUIS.POTOSÍ.5","San Luis Potosí","24",78.73,44.335516388566,0.331651591389696,237.387674426959
1999-12-01,"1999/Dec","Dec","Salario diario hombres","SINALOA.4","Sinaloa","25",91.84,44.335516388566,0.331651591389696,276.91710935313
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","SINALOA.5","Sinaloa","25",83.47,44.335516388566,0.331651591389696,251.679781333904
1999-12-01,"1999/Dec","Dec","Salario diario hombres","SONORA.4","Sonora","26",108.7,44.335516388566,0.331651591389696,327.753590882896
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","SONORA.5","Sonora","26",87.11,44.335516388566,0.331651591389696,262.655154570461
1999-12-01,"1999/Dec","Dec","Salario diario hombres","TABASCO.4","Tabasco","27",101.74,44.335516388566,0.331651591389696,306.767712386622
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","TABASCO.5","Tabasco","27",91.01,44.335516388566,0.331651591389696,274.4144830382
1999-12-01,"1999/Dec","Dec","Salario diario hombres","TAMAULIPAS.4","Tamaulipas","28",121.14,44.335516388566,0.331651591389696,365.262833482558
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","TAMAULIPAS.5","Tamaulipas","28",101.24,44.335516388566,0.331651591389696,305.26010617281
1999-12-01,"1999/Dec","Dec","Salario diario hombres","TLAXCALA.4","Tlaxcala","29",114.5,44.335516388566,0.331651591389696,345.241822963124
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","TLAXCALA.5","Tlaxcala","29",77.22,44.335516388566,0.331651591389696,232.834703661244
1999-12-01,"1999/Dec","Dec","Salario diario hombres","VERACRUZ.SUR.4","Veracruz","30",102.98,44.335516388566,0.331651591389696,310.506575796878
1999-12-01,"1999/Dec","Dec","Salario diario hombres","VERACRUZ.NORTE.4","Veracruz","30",113.23,44.335516388566,0.331651591389696,341.41250318004
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","VERACRUZ.NORTE.5","Veracruz","30",107.33,44.335516388566,0.331651591389696,323.622749857049
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","VERACRUZ.SUR.5","Veracruz","30",92.16,44.335516388566,0.331651591389696,277.88197732997
1999-12-01,"1999/Dec","Dec","Salario diario hombres","YUCATÁN.4","Yucatán","31",84.94,44.335516388566,0.331651591389696,256.112143602513
1999-12-01,"1999/Dec","Dec","Salario diario mujeres","YUCATÁN.5","Yucatán","31",74.5,44.335516388566,0.331651591389696,224.633325858103
